gene_id,best_BLAST_hit,eval,pannzer_description,pannzer_gene_name,molecular_function,biological_processes,cellular_component
Hsym|HyS0001.23,XP_028410643.1_uncharacterized_protein_LOC114533334_[Dendronephthya_gigantea],4.20E-30,Histone-lysine_N-methyltransferase,NA,histone-lysine_N-methyltransferase_activity,histone_lysine_methylation,nucleus
Hsym|HyS0001.25,XP_009302434.2_SET_domain-containing_protein_5-like_[Danio_rerio],1.90E-06,NA,NA,NA,NA,NA
Hsym|HyS0001.26,PFX15781.1_Ankyrin-2_[Stylophora_pistillata],1.00E-06,NA,NA,NA,NA,NA
Hsym|HyS0001.27,XP_002161908.1_PREDICTED:_eukaryotic_translation_initiation_factor_3_subunit_G-like_[Hydra_vulgaris],1.20E-128,Eukaryotic_translation_initiation_factor_3_subunit_G,EIF3G,translation_initiation_factor_activity,formation_of_cytoplasmic_translation_initiation_complex,eukaryotic_translation_initiation_factor_3_complex
Hsym|HyS0001.28,RMX51863.1_hypothetical_protein_pdam_00018466_[Pocillopora_damicornis],2.80E-10,NA,NA,NA,NA,NA
Hsym|HyS0001.29,XP_028413990.1_uncharacterized_protein_LOC114536852_[Dendronephthya_gigantea],1.10E-44,Reverse_transcriptase_domain-containing_protein,NA,NA,NA,NA
Hsym|HyS0001.30,XP_012559915.1_PREDICTED:_uncharacterized_protein_LOC100210597_[Hydra_vulgaris],9.90E-135,Carbohydrate-binding_module_family_1_protein,NA,chitin_binding,chitin_metabolic_process,mucus_layer
Hsym|HyS0001.31,XP_012559733.1_PREDICTED:_valine--tRNA_ligase-like_[Hydra_vulgaris],0,Valyl-tRNA_synthetase,VARS,valine-tRNA_ligase_activity,valyl-tRNA_aminoacylation,cytoplasm
Hsym|HyS0001.33,XP_002164730.1_PREDICTED:_ubiquitin_carboxyl-terminal_hydrolase_isozyme_L5-like_[Hydra_vulgaris],9.30E-128,Ubiquitin_carboxyl-terminal_hydrolase,UCHL5,thiol-dependent_ubiquitin-specific_protease_activity,protein_deubiquitination,Ino80_complex
Hsym|HyS0001.34,XP_012566909.1_PREDICTED:_coiled-coil_domain-containing_protein_18-like_[Hydra_vulgaris],1.00E-18,NA,NA,NA,NA,NA
Hsym|HyS0001.35,XP_028408437.1_casein_kinase_II_subunit_beta_[Dendronephthya_gigantea],6.20E-112,Casein_kinase_II_subunit_beta,NA,protein_kinase_regulator_activity,regulation_of_protein_kinase_activity,protein_kinase_CK2_complex
Hsym|HyS0001.36,XP_022785002.1_protein_CASC1-like_[Stylophora_pistillata],3.90E-113,Cancer_susceptibility_candidate_1,NA,NA,NA,NA
Hsym|HyS0001.37,PFX14367.1_hypothetical_protein_AWC38_SpisGene21476_[Stylophora_pistillata],2.00E-31,DDE_Tnp4_domain-containing_protein,NA,DNA-directed_DNA_polymerase_activity,DNA_biosynthetic_process,integral_component_of_membrane
Hsym|HyS0001.38,AFR54107.1_synaptonemal_complex_protein_3_[Hydra_vulgaris],2.20E-59,N-acetylglucosamine-1-phosphotransferase_subunits_alpha/beta,SYCP3,calcium_ion_binding,spermatid_development,synaptonemal_complex
Hsym|HyS0001.39,XP_012566911.1_PREDICTED:_protein_kinase_C_and_casein_kinase_substrate_in_neurons_protein_1-like_[Hydra_vulgaris],2.00E-110,Kinase_C_and_casein_kinase_substrate_in_neurons_protein_2,NA,kinase_activity,plasma_membrane_tubulation,cytoskeleton
Hsym|HyS0001.40,XP_012563510.1_PREDICTED:_carboxyl-terminal_PDZ_ligand_of_neuronal_nitric_oxide_synthase_protein-like_[Hydra_vulgaris],1.30E-109,Carboxyl-terminal_PDZ_ligand_of_neuronal_nitric_oxide_synthase_protein_isoform_3,NA,nitric-oxide_synthase_binding,regulation_of_heart_rate_by_chemical_signal,T-tubule
Hsym|HyS0001.41,XP_012561233.1_PREDICTED:_protein_TSSC4-like_[Hydra_vulgaris],6.10E-20,NA,NA,NA,NA,NA
Hsym|HyS0001.42,WP_128391398.1_ankyrin_repeat_domain-containing_protein_[Flavobacterium_sp._1E403],2.10E-05,NA,NA,NA,NA,NA
Hsym|HyS0001.44,XP_004210587.2_PREDICTED:_serine/threonine_kinase_SAD-1-like_isoform_X1_[Hydra_vulgaris],3.80E-170,BR_serine/threonine-protein_kinase_2,NA,protein_kinase_activity,protein_phosphorylation,nucleus
Hsym|HyS0001.45,XP_028408491.1_uncharacterized_protein_LOC114531047_[Dendronephthya_gigantea],8.60E-66,NA,NA,NA,NA,NA
Hsym|HyS0001.46,XP_015776598.1_PREDICTED:_uncharacterized_protein_LOC107354628_[Acropora_digitifera],5.10E-13,NA,NA,NA,NA,NA
Hsym|HyS0001.50,XP_012563851.1_PREDICTED:_acid-sensing_ion_channel_4-like_isoform_X1_[Hydra_vulgaris],1.00E-44,NA,NA,NA,NA,NA
Hsym|HyS0001.54,XP_002159553.1_PREDICTED:_pyroglutamylated_RFamide_peptide_receptor-like_[Hydra_vulgaris],6.60E-79,NA,NA,NA,NA,NA
Hsym|HyS0001.56,XP_004206530.1_PREDICTED:_folliculin-like_[Hydra_vulgaris],1.40E-178,Folliculin,FLCN,guanyl-nucleotide_exchange_factor_activity,negative_regulation_of_ATP_biosynthetic_process,cell-cell_contact_zone
Hsym|HyS0001.57,XP_012560121.1_PREDICTED:_lysosomal_alpha-glucosidase-like_[Hydra_vulgaris],0,Lysosomal_alpha-glucosidase,NA,carbohydrate_binding,carbohydrate_metabolic_process,integral_component_of_membrane
Hsym|HyS0001.58,XP_002157808.2_PREDICTED:_uncharacterized_protein_LOC100204451_[Hydra_vulgaris],1.10E-53,Rho_GTPase-activating_protein_100F,NA,NA,NA,NA
Hsym|HyS0001.59,XP_027051690.1_uncharacterized_protein_LOC113678971_[Pocillopora_damicornis],1.00E-220,Collagen_alpha-1(XII)_chain,NA,chitin_binding,chitin_metabolic_process,collagen_trimer
Hsym|HyS0001.60,XP_002161611.3_PREDICTED:_probable_signal_peptidase_complex_subunit_2_[Hydra_vulgaris],1.10E-64,Signal_peptidase_complex_subunit_2,NA,peptidase_activity,signal_peptide_processing,signal_peptidase_complex
Hsym|HyS0001.61,XP_002163568.3_PREDICTED:_protein_C12orf4_homolog_isoform_X1_[Hydra_vulgaris],1.00E-163,NA,NA,NA,NA,NA
Hsym|HyS0001.62,"XP_002165179.3_PREDICTED:_medium-chain_specific_acyl-CoA_dehydrogenase,_mitochondrial-like_[Hydra_vulgaris]",1.40E-181,"Medium-chain_specific_acyl-CoA_dehydrogenase,_mitochondrial",NA,acyl-CoA_dehydrogenase_activity,fatty_acid_beta-oxidation,mitochondrion
Hsym|HyS0001.63,"XP_014450966.1_PREDICTED:_isovaleryl-CoA_dehydrogenase,_mitochondrial_[Alligator_mississippiensis]",3.60E-50,DNA-directed_RNA_polymerase_subunit_beta,IVD,acyl-CoA_dehydrogenase_activity,oxidation-reduction_process,mitochondrion
Hsym|HyS0001.64,RKP23953.1_acyl-CoA_dehydrogenase/oxidase_[Syncephalis_pseudoplumigaleata],1.00E-70,Isovaleryl_Coenzyme_A_dehydrogenase,IVD,acyl-CoA_dehydrogenase_activity,oxidation-reduction_process,mitochondrion
Hsym|HyS0001.65,XP_012559220.1_PREDICTED:_RING_finger_protein_141-like_[Hydra_vulgaris],2.40E-59,RING-type_domain-containing_protein,NA,NA,NA,NA
Hsym|HyS0001.66,XP_002166692.2_PREDICTED:_kinesin-like_protein_KIF18A_[Hydra_vulgaris],1.70E-208,Kinesin_motor_domain-containing_protein_(Fragment),NA,microtubule_motor_activity,microtubule-based_movement,microtubule
Hsym|HyS0001.67,XP_002154090.1_PREDICTED:_disintegrin_and_metalloproteinase_domain-containing_protein_10-like_[Hydra_vulgaris],2.20E-304,Disintegrin_and_metalloproteinase_domain-containing_protein_10_(Fragment),NA,metalloendopeptidase_activity,membrane_protein_ectodomain_proteolysis,integral_component_of_membrane
Hsym|HyS0001.68,AOF43158.1_histone_CENP-A_[Hydractinia_echinata],8.30E-63,"Centromere_protein_that_resembles_histones,_required_for_proper_kinetochore_function",NA,protein_heterodimerization_activity,NA,nucleosome
Hsym|HyS0001.69,KPP78985.1_hypothetical_protein_Z043_101471_[Scleropages_formosus],8.80E-52,Ubiquitin_conjugating_enzyme_E2_Z,UBE2Z,ubiquitin_conjugating_enzyme_activity,protein_ubiquitination,nucleoplasm
Hsym|HyS0001.70,XP_012556548.1_PREDICTED:_DNL-type_zinc_finger_protein-like_[Hydra_vulgaris],3.30E-27,DNL-type_zinc_finger,NA,zinc_ion_binding,protein_import_into_mitochondrial_matrix,mitochondrion
Hsym|HyS0001.71,XP_020627304.1_probable_peptidyl-tRNA_hydrolase_[Orbicella_faveolata],3.10E-35,Aminoacyl-tRNA_hydrolase,PTH,aminoacyl-tRNA_hydrolase_activity,translation,cytoplasm
Hsym|HyS0001.72,ARX80208.1_notch-b_[Hydractinia_echinata],0,Ankyrin_repeat_domain-containing_protein_50,NA,calcium_ion_binding,Notch_signaling_pathway,integral_component_of_membrane
Hsym|HyS0001.73,XP_020608670.1_voltage-dependent_calcium_channel_subunit_alpha-2/delta-3-like_[Orbicella_faveolata],8.90E-169,VWFA_domain-containing_protein,NA,voltage-gated_calcium_channel_activity,calcium_ion_transmembrane_transport,voltage-gated_calcium_channel_complex
Hsym|HyS0001.74,PFX28904.1_hypothetical_protein_AWC38_SpisGene6345_[Stylophora_pistillata],1.80E-21,NA,NA,NA,NA,NA
Hsym|HyS0001.75,XP_012557593.1_PREDICTED:_uncharacterized_protein_LOC100209684_[Hydra_vulgaris],2.90E-149,Ankyrin_repeat_domain-containing_protein,NA,NA,NA,NA
Hsym|HyS0001.76,XP_012862052.1_PREDICTED:_seminal_plasma_protein_PDC-109-like_[Echinops_telfairi],1.80E-05,Seminal_plasma_protein_2,NA,heparin_binding,sperm_capacitation,cell_surface
Hsym|HyS0001.77,XP_012566803.1_PREDICTED:_conserved_oligomeric_Golgi_complex_subunit_7-like_[Hydra_vulgaris],2.50E-181,Component_of_oligomeric_golgi_complex_7,COG7,NA,intracellular_protein_transport,Golgi_transport_complex
Hsym|HyS0001.78,XP_012560047.1_PREDICTED:_calcium_channel_flower-like_[Hydra_vulgaris],1.90E-41,NA,NA,NA,NA,NA
Hsym|HyS0001.79,XP_002158018.2_PREDICTED:_vesicle-associated_membrane_protein_4-like_[Hydra_vulgaris],2.40E-31,Vesicle-associated_membrane_protein_4,NA,NA,vesicle-mediated_transport,vacuolar_membrane
Hsym|HyS0001.80,XP_012566709.1_PREDICTED:_uncharacterized_protein_LOC101239179_[Hydra_vulgaris],1.40E-31,Choice-of-anchor_A_domain-containing_protein,NA,NA,NA,keratin_filament
Hsym|HyS0001.82,XP_012557210.1_PREDICTED:_laminin_subunit_gamma-1_[Hydra_vulgaris],0,Laminin_subunit_gamma-1,LAMC3,extracellular_matrix_structural_constituent,astrocyte_development,basement_membrane
Hsym|HyS0001.83,XP_020611246.1_protein_c-ets-2-A-like_isoform_X1_[Orbicella_faveolata],6.20E-25,NA,NA,NA,NA,NA
Hsym|HyS0001.84,XP_019622830.1_PREDICTED:_tigger_transposable_element-derived_protein_1-like_[Branchiostoma_belcheri],1.70E-55,Tigger_transposable_element-derived_6-like_protein,NA,metal_ion_binding,NA,NA
Hsym|HyS0001.86,"XP_012565991.1_PREDICTED:_phosphoinositide_3-kinase_regulatory_subunit_4-like,_partial_[Hydra_vulgaris]",0,Follicle-stimulating_hormone_beta_subunit_molecule,PIK3R4,protein_kinase_activity,protein_phosphorylation,"phosphatidylinositol_3-kinase_complex,_class_III"
Hsym|HyS0001.87,XP_015766352.1_PREDICTED:_mutS_protein_homolog_4-like_[Acropora_digitifera],7.80E-291,mutS_protein_homolog_4,MSH4,mismatched_DNA_binding,mismatch_repair,recombination_nodule
Hsym|HyS0001.88,XP_012562626.1_PREDICTED:_uncharacterized_protein_LOC101234877_[Hydra_vulgaris],1.10E-13,NA,NA,NA,NA,NA
Hsym|HyS0001.89,XP_002160936.2_PREDICTED:_CD151_antigen-like_[Hydra_vulgaris],1.10E-85,Tetraspanin,NA,NA,NA,integral_component_of_membrane
Hsym|HyS0001.92,XP_012566382.1_PREDICTED:_uncharacterized_protein_PFB0145c-like_[Hydra_vulgaris],1.80E-59,NA,NA,NA,NA,NA
Hsym|HyS0001.94,XP_013920377.1_PREDICTED:_FERM_domain-containing_protein_1_isoform_X2_[Thamnophis_sirtalis],5.50E-06,NA,NA,NA,NA,NA
Hsym|HyS0001.95,XP_002170861.3_PREDICTED:_uncharacterized_protein_LOC100215981_[Hydra_vulgaris],3.90E-20,NA,NA,NA,NA,NA
Hsym|HyS0001.96,XP_002170861.3_PREDICTED:_uncharacterized_protein_LOC100215981_[Hydra_vulgaris],2.80E-18,NA,NA,NA,NA,NA
Hsym|HyS0001.97,XP_002158911.2_PREDICTED:_uncharacterized_protein_LOC100201052_[Hydra_vulgaris],2.00E-16,NA,NA,NA,NA,NA
Hsym|HyS0001.98,XP_012558982.1_PREDICTED:_nose_resistant_to_fluoxetine_protein_6-like_[Hydra_vulgaris],4.40E-154,nose_resistant_to_fluoxetine_protein_6,NA,"transferase_activity,_transferring_acyl_groups_other_than_amino-acyl_groups",RNA_metabolic_process,integral_component_of_membrane
Hsym|HyS0001.99,XP_002166013.3_PREDICTED:_adiponectin_receptor_protein_1-like_[Hydra_vulgaris],2.30E-184,Adiponectin_receptor,NA,signaling_receptor_activity,adiponectin-activated_signaling_pathway,integral_component_of_membrane
Hsym|HyS0001.100,XP_004208354.1_PREDICTED:_uncharacterized_protein_LOC101234497_[Hydra_vulgaris],7.40E-40,"Phytochelatin_synthase,_bacterial_type",NA,glutathione_gamma-glutamylcysteinyltransferase_activity,phytochelatin_metabolic_process,NA
Hsym|HyS0001.101,XP_002164883.3_PREDICTED:_uncharacterized_protein_LOC100201509_isoform_X1_[Hydra_vulgaris],0,Myotubularin_protein_8,NA,protein_tyrosine_phosphatase_activity,peptidyl-tyrosine_dephosphorylation,plasma_membrane
Hsym|HyS0001.102,"XP_028407601.1_DNA-directed_RNA_polymerase,_mitochondrial-like_[Dendronephthya_gigantea]",2.60E-251,DNA-directed_RNA_polymerase,POLRMT,DNA-directed_5'-3'_RNA_polymerase_activity,"transcription,_DNA-templated",mitochondrial_nucleoid
Hsym|HyS0001.103,XP_002160860.1_PREDICTED:_macrophage_erythroblast_attacher-like_[Hydra_vulgaris],2.30E-131,macrophage_erythroblast_attacher,NA,ubiquitin-protein_transferase_activity,negative_regulation_of_gluconeogenesis,GID_complex
Hsym|HyS0001.104,XP_004626507.1_DNA-directed_RNA_polymerase_I_subunit_RPA43_[Octodon_degus],3.30E-25,NA,NA,NA,NA,NA
Hsym|HyS0001.105,XP_002163022.3_PREDICTED:_large_proline-rich_protein_bag6-A-like_[Hydra_vulgaris],6.20E-168,Ubiquitin_domain,NA,NA,NA,NA
Hsym|HyS0001.106,XP_012564786.1_PREDICTED:_sodium/potassium-transporting_ATPase_subunit_alpha-1-like_[Hydra_vulgaris],5.50E-40,Sodium/potassium-transporting_ATPase_subunit_alpha,NA,nucleotide_binding,potassium_ion_transmembrane_transport,integral_component_of_membrane
Hsym|HyS0001.107,XP_002165404.3_PREDICTED:_ras_guanine_nucleotide_exchange_factor_R-like_[Hydra_vulgaris],1.80E-106,Cat_eye_syndrome_critical_region_protein_2,CECR2,NA,ATP-dependent_chromatin_remodeling,CERF_complex
Hsym|HyS0001.108,XP_013393891.1_protein_rolling_stone-like_[Lingula_anatina],4.70E-15,NA,NA,NA,NA,NA
Hsym|HyS0001.109,XP_012566062.1_PREDICTED:_uncharacterized_protein_LOC105850126_[Hydra_vulgaris],3.80E-53,NA,NA,NA,NA,NA
Hsym|HyS0001.110,XP_027042233.1_sodium/hydrogen_exchanger_10-like_[Pocillopora_damicornis],0,Sperm-specific_sodium_proton_exchanger,NA,solute:proton_antiporter_activity,proton_transmembrane_transport,integral_component_of_membrane
Hsym|HyS0001.111,XP_012564488.1_PREDICTED:_vesicle_transport_protein_GOT1B-like_[Hydra_vulgaris],2.50E-63,Vesicle_transport_protein_GOT1B,GOLT1B,NA,vesicle-mediated_transport,endoplasmic_reticulum
Hsym|HyS0001.112,XP_027044738.1_mitochondrial-processing_peptidase_subunit_alpha-like_[Pocillopora_damicornis],1.20E-156,Mitochondrial-processing_peptidase_subunit_alpha,NA,metalloendopeptidase_activity,proteolysis,mitochondrion
Hsym|HyS0001.114,XP_004206512.2_PREDICTED:_GTPase-activating_Rap/Ran-GAP_domain-like_protein_3_[Hydra_vulgaris],0,Gtpase_activating_rap/ran_gap_domain_like_protein_3,GARNL3,GTPase_activator_activity,regulation_of_small_GTPase_mediated_signal_transduction,intracellular_membrane-bounded_organelle
Hsym|HyS0001.115,XP_028410526.1_60S_ribosomal_protein_L27a-like_[Dendronephthya_gigantea],1.30E-62,Large_subunit_ribosomal_protein_L27Ae,RPL27A,structural_constituent_of_ribosome,translation,large_ribosomal_subunit
Hsym|HyS0001.116,XP_004206018.1_PREDICTED:_zinc_finger_protein_585A-like_[Hydra_vulgaris],2.70E-193,GDNF_inducible_zinc_finger_protein_1,GZF1,nucleic_acid_binding,"regulation_of_transcription,_DNA-templated",nucleus
Hsym|HyS0001.117,"XP_012561429.1_PREDICTED:_acyl-CoA_synthetase_short-chain_family_member_3,_mitochondrial-like_[Hydra_vulgaris]",1.80E-263,AMP-dependent_synthetase_and_ligase,PRPE,propionate-CoA_ligase_activity,oxidation-reduction_process,NA
Hsym|HyS0001.118,XP_012555042.1_PREDICTED:_tRNA_wybutosine-synthesizing_protein_3_homolog_[Hydra_vulgaris],7.70E-58,tRNA_wybutosine-synthesizing_protein_3,TYW3,tRNA_methyltransferase_activity,wybutosine_metabolic_process,cytoplasm
Hsym|HyS0001.119,XP_012555040.1_PREDICTED:_uncharacterized_protein_LOC105843789_[Hydra_vulgaris],1.00E-25,NA,NA,NA,NA,NA
Hsym|HyS0001.120,XP_002165194.3_PREDICTED:_vacuolar_protein_sorting-associated_protein_72_homolog_[Hydra_vulgaris],2.30E-45,Vacuolar_protein_sorting-associated_protein_72,VPS72,DNA_binding,histone_exchange,nucleus
Hsym|HyS0001.121,XP_002167762.3_PREDICTED:_tyrosine-protein_kinase_ABL1_[Hydra_vulgaris],2.40E-274,Tyrosine-protein_kinase_Abl,NA,non-membrane_spanning_protein_tyrosine_kinase_activity,peptidyl-tyrosine_phosphorylation,NA
Hsym|HyS0001.123,XP_013384554.1_ubiquitin-related_modifier_1-like_[Lingula_anatina],3.50E-32,Ubiquitin-related_modifier_1_homolog,URM1,sulfur_carrier_activity,tRNA_thio-modification,cytosol
Hsym|HyS0001.124,XP_002157600.1_PREDICTED:_60S_ribosomal_protein_L35-like_[Hydra_vulgaris],1.50E-46,Tuftelin-interacting_protein_11,NA,structural_constituent_of_ribosome,translation,ribosome
Hsym|HyS0001.125,XP_012556658.1_PREDICTED:_uncharacterized_protein_LOC100213741_[Hydra_vulgaris],1.40E-32,NA,NA,NA,NA,NA
Hsym|HyS0001.126,XP_004211348.2_PREDICTED:_torsin-1A-like_[Hydra_vulgaris],6.10E-100,Glycerol-3-phosphate_dehydrogenase,NA,unfolded_protein_binding,synaptic_vesicle_transport,endoplasmic_reticulum_lumen
Hsym|HyS0001.127,"XP_002156548.1_PREDICTED:_28S_ribosomal_protein_S2,_mitochondrial-like_[Hydra_vulgaris]",1.60E-82,Phosphatase_1_regulatory_subunit_26,MRPS2,structural_constituent_of_ribosome,translation,small_ribosomal_subunit
Hsym|HyS0001.128,XP_020906385.1_carboxylesterase_notum2-like_[Exaiptasia_pallida],7.00E-113,NA,NA,NA,NA,NA
Hsym|HyS0001.129,XP_012559763.1_PREDICTED:_coiled-coil-helix-coiled-coil-helix_domain-containing_protein_5-like_[Hydra_vulgaris],8.80E-23,NA,NA,NA,NA,NA
Hsym|HyS0001.130,XP_001639232.1_predicted_protein_[Nematostella_vectensis],8.00E-87,Leucine-rich_repeat_and_IQ_domain-containing_protein_3,NA,NA,NA,NA
Hsym|HyS0001.131,XP_019631342.1_PREDICTED:_LOW_QUALITY_PROTEIN:_cytosolic_carboxypeptidase_6-like_[Branchiostoma_belcheri],5.40E-186,cytosolic_carboxypeptidase_6,AGBL4,metallocarboxypeptidase_activity,proteolysis,centriole
Hsym|HyS0001.132,XP_001638402.1_predicted_protein_[Nematostella_vectensis],1.70E-35,NA,NA,NA,NA,NA
Hsym|HyS0001.133,XP_027050549.1_uncharacterized_protein_LOC113677894_[Pocillopora_damicornis],1.20E-103,NA,NA,NA,NA,NA
Hsym|HyS0001.134,XP_001633787.1_predicted_protein_[Nematostella_vectensis],4.60E-105,NA,NA,NA,NA,NA
Hsym|HyS0001.135,XP_001633787.1_predicted_protein_[Nematostella_vectensis],8.90E-77,NA,NA,NA,NA,NA
Hsym|HyS0001.136,XP_012555211.1_PREDICTED:_ATP-binding_cassette_sub-family_F_member_1-like_[Hydra_vulgaris],1.20E-267,ATP-binding_cassette_sub-family_F_member,ABCF1,ATPase_activity,NA,NA
Hsym|HyS0001.137,XP_012561922.1_PREDICTED:_SUN_domain-containing_ossification_factor-like_[Hydra_vulgaris],1.40E-86,SUN_domain-containing_ossification_factor,NA,serine-type_endopeptidase_activity,proteolysis,integral_component_of_membrane
Hsym|HyS0001.139,XP_012555800.1_PREDICTED:_collagen_alpha-1(V)_chain-like_[Hydra_vulgaris],2.10E-49,Collagen_type_XI_alpha_2_chain,COL11A2,extracellular_matrix_structural_constituent,collagen_fibril_organization,collagen_trimer
Hsym|HyS0001.141,XP_011662466.1_PREDICTED:_uncharacterized_protein_LOC105437506_[Strongylocentrotus_purpuratus],4.40E-113,SET_domain-containing_protein,NA,NA,NA,NA
Hsym|HyS0001.143,XP_020627438.1_transmembrane_protein_246-like_[Orbicella_faveolata],4.40E-41,NA,NA,NA,NA,NA
Hsym|HyS0001.145,NP_001296675.1_serine/threonine-protein_kinase_N2-like_[Hydra_vulgaris],2.80E-238,Non-specific_serine/threonine_protein_kinase,NA,GTP-Rho_binding,protein_phosphorylation,cleavage_furrow
Hsym|HyS0001.146,XP_012560777.1_PREDICTED:_uncharacterized_protein_LOC101239942_[Hydra_vulgaris],3.00E-21,NA,NA,NA,NA,NA
Hsym|HyS0001.147,XP_012564112.1_PREDICTED:_uncharacterized_protein_LOC105848528_[Hydra_vulgaris],1.50E-53,NA,NA,NA,NA,NA
Hsym|HyS0001.148,XP_012557777.1_PREDICTED:_serine/threonine-protein_kinase_38-like_[Hydra_vulgaris],7.70E-235,Non-specific_serine/threonine_protein_kinase,NA,protein_serine/threonine_kinase_activity,protein_phosphorylation,actin_cytoskeleton
Hsym|HyS0001.149,NP_001274708.1_uncharacterized_protein_LOC100203431_[Hydra_vulgaris],4.40E-100,NA,NA,NA,NA,NA
Hsym|HyS0001.150,XP_012557776.1_PREDICTED:_uncharacterized_protein_LOC100207836_[Hydra_vulgaris],7.40E-81,NA,NA,NA,NA,NA
Hsym|HyS0001.151,"XP_002165749.3_PREDICTED:_probable_3',5'-cyclic_phosphodiesterase_pde-5_[Hydra_vulgaris]",0,Phosphodiesterase,NA,"3',5'-cyclic-nucleotide_phosphodiesterase_activity",signal_transduction,NA
Hsym|HyS0001.152,"XP_002166554.1_PREDICTED:_39S_ribosomal_protein_L55,_mitochondrial-like_isoform_X1_[Hydra_vulgaris]",4.40E-29,NA,NA,NA,NA,NA
Hsym|HyS0001.153,XP_003468554.1_ethylmalonyl-CoA_decarboxylase_[Cavia_porcellus],2.30E-09,Fatty_acid_oxidation_complex_subunit_alpha_FadB,NA,dodecenoyl-CoA_delta-isomerase_activity,fatty_acid_beta-oxidation,fatty_acid_beta-oxidation_multienzyme_complex
Hsym|HyS0001.154,XP_015779580.1_PREDICTED:_uncharacterized_protein_LOC107357456_[Acropora_digitifera],8.30E-18,NA,NA,NA,NA,NA
Hsym|HyS0001.156,XP_020610424.1_histamine_H2_receptor-like_[Orbicella_faveolata],2.90E-26,NA,NA,NA,NA,NA
Hsym|HyS0001.158,XP_012564244.1_PREDICTED:_multivesicular_body_subunit_12A-like_[Hydra_vulgaris],8.30E-51,NA,NA,NA,NA,NA
Hsym|HyS0001.159,XP_012564243.1_PREDICTED:_myotrophin-like_[Hydra_vulgaris],1.70E-39,Ankyrin_repeat_domain-containing_protein_52,NA,protein_prenyltransferase_activity,negative_regulation_of_barbed-end_actin_filament_capping,signal_recognition_particle
Hsym|HyS0001.160,XP_001635956.1_predicted_protein_[Nematostella_vectensis],7.70E-65,MORN_repeat-containing_protein_5,MORN5,calcium_ion_binding,NA,NA
Hsym|HyS0001.161,XP_004206807.1_PREDICTED:_caprin-1-like_[Hydra_vulgaris],4.50E-66,Translation_initiation_factor_IF-2,NA,translation_initiation_factor_activity,translational_initiation,keratin_filament
Hsym|HyS0001.162,XP_002167771.2_PREDICTED:_negative_elongation_factor_B-like_[Hydra_vulgaris],3.30E-195,Negative_elongation_factor_complex_member_B,NA,translation_elongation_factor_activity,"negative_regulation_of_transcription,_DNA-templated",nucleus
Hsym|HyS0001.164,XP_002161852.1_PREDICTED:_uncharacterized_protein_LOC100212612_isoform_X1_[Hydra_vulgaris],4.10E-48,Ets_DNA-binding_protein_pokkuri,NA,sequence-specific_DNA_binding,"regulation_of_transcription,_DNA-templated",nucleus
